"ID","GEBV"
"C4P26F6:4","-0.000483155584542819"
"C8P2F6:6","-0.000358345818679439"
"C8P30F6:20","-0.000423918938651561"
"C3P11F6:14","-0.000327295660958649"
"C8P14F6:2","-0.000448603833262628"
"C8P20F6:81","-0.000298642448573182"
"C8P27F6:8","-0.00039289646042881"
"C3P11F6:4","-0.000327745185789334"
"C10P9F6:6","-0.0004441520242746"
"C10P9F6:12","-0.000308244882716227"
"C8P27F6:6","-0.000407420626520641"
"C6P29F5:2","-0.000427103133214373"
"C6P29F5:6","-0.000427103133214373"
"C10P14F5:2","-0.000397598071191219"
"C9P29F5:13","-0.000341788347644735"
"C9P29F5:11","-8.55592841602395e-05"
"C10P12F5:3","-0.000351778355945289"
"C11223","-0.000404483087945962"
"C7P52F5:13","-0.000456363767548445"
"C7P52F5:11","-0.000456363767548445"
"C10P13F5:5","-0.00041955410996454"
"C6P27F5:3","-0.000427103133214373"
"C9P37F5:4","-0.000461818579537854"
"C10P13F5:2","-0.000511256342699881"
"C6P45F5:6","-0.000334256020706782"
"C10P16F5:2","-0.000369336148130792"
"C9P37F5:1","-0.000436997023559754"
"C10P15F5:3","-0.000408321001509461"
"C1P40F5:1","-0.000335067758220111"
"C1P41F5:3","-0.000421382135919632"
"C1P40F5:5","-0.00044999125295019"
"C10P26F5:2","-0.000488707002974251"
"C1P44F5:5","-0.000232106025485698"
"C1P40F5:6","-0.000436208965308963"
"C1P19F5:1","-0.000464536716760621"
"C1P43F5:7","-0.000205935745392405"
"C1P42F5:1","-0.000436455382693726"
"C1P41F5:2","-0.00044956214410546"
"C1P44F5:3","-0.000257487710971874"
"C1P40F5:3","-0.000373348322982338"
"C1P18F5:9","-0.000387384294358069"
"C1P35F5:3","-0.000269465880696777"
"C1P50F5:6","-0.000499133488187278"
"C1P41F5:4","-0.000517954040769304"
"C1P21F5:1","-0.000376650662579649"
"C1P34F5:1","-0.000254675218970464"
"C1P53F5:5","-0.000266217647981064"
"C1P52F5:8","-0.000161251563981907"
"C1P56F5:1","-0.000386739756900444"
"C1P18F5:5","-0.000368768482219101"
"C1P53F5:6","-0.000402838046750723"
"C1P46F5:4","-0.000365505406963703"
"C1P17F5:4","-0.000511970161203321"
"C1P43F5:2","-0.000392923704833744"
"C1P43F5:9","-0.000268199028584321"
"C1P50F5:3","-0.000152799529455572"
"C1P41F5:1","-0.000387331036285375"
"C1P47F5:10","-0.000410600858780025"
"C10P13F5:3","-0.000441290017166563"
"C6P29F5:3","-0.000428086029812298"
"C3P4F5:12","-0.00015287579290315"
"C8P12F5:16","-0.000430212451548122"
"C9P29F5:1","-0.000350402804869507"
"C9P25F5:2","-0.000118514373728004"
"C7P46F5:4","-0.000160047442161205"
"C8P12F5:6","-0.00045527020277959"
"C7P52F5:10","-0.000457346664146369"
"C7P52F5:7","-0.000457346664146369"
"C6P26F5:11","-0.000314761384438969"
"C6P14F5:2","-0.000221381789340191"
"C1P53F5:1","-0.000380511447514569"
"C1P17F5:2","-0.000337889891490273"
"C10P24F5:4","-0.000343041103240295"
"C1P46F5:5","-0.000362447876217967"
"C6P26F5:5","-0.000358631274177514"
"C9P29F5:9","-0.000124540211671165"
"C1P47F5:11","-0.00024656176732553"
"C6P11F5:11","-0.000276387679699773"
"C1P17F5:3","-0.00035343342219595"
"C6P11F5:13","-0.000433404050760912"
"C1P51F5:3","-0.000143042446797679"
"C1P52F5:4","-0.000415469084722207"
"C1P51F5:6","-0.000360789540569379"
"C10P24F5:3","-0.000583497611627296"
"C1P52F5:9","-0.000362845304207916"
"C1P58F5:1","-0.000430302853854937"
"C6P26F5:4","-0.000244293908194068"
"C10P26F5:3","-0.000567816152522543"
"C1P59F5:1","-0.000456363767548445"
"C1P17F5:10","-0.000478856262724227"
"C10P16F5:1","-0.000426571579079035"
"C10P26F5:4","-0.000471969927212858"
"C1P41F5:5","-0.000148744417488738"
"C1P52F5:11","-0.000470692010740349"
"C1P17F5:1","-0.000436238821142353"
"C1P51F5:1","-0.000178382975558897"
"C10P15F5:9","-0.000298418023061807"
"C7P52F5:1","-0.000456363767548445"
"C7P46F5:11","-0.000427247897684718"
"C1P46F5:1","-9.04664607670889e-05"
"C1P18F5:8","-0.000551931564474862"
"C1P36F5:3","-0.000420522092860109"
"C10P42F5:2","-0.00040350306333807"
"C1P19F5:4","-0.000377065679854488"
"C9P25F5:5","-1.83059340743335e-05"
"C1P53F5:7","-0.000346846023075691"
"C1P8F5:1","-0.000450975282931161"
"C7P52F5:4","-0.000456363767548445"
"C6P45F5:4","-0.000342328937159594"
"C1P18F5:6","-0.000469658979558261"
"C7P52F5:3","-0.000456363767548445"
"C9P25F5:4","-3.91089252722443e-05"
"C9P43F5:1","-0.000369633799765054"
"C1P35F5:4","-0.000302482687105809"
"C1P21F5:2","-0.000384452667714367"
"C1P50F5:2","-0.000342246727992355"
"C9P28F5:10","-0.000497600365828804"
"C10P12F5:4","-0.000377716120369676"
"C1P50F5:4","-0.000353591576761866"
"C6P14F5:3","-0.000194632184409563"
"C1P44F5:9","-0.000361477930605879"
"C10P16F5:6","-0.000503642340955118"
"C1P47F5:12","-0.000363638787435596"
"C7P52F5:9","-0.000457346664146369"
"C9P43F5:5","-0.000361137964356234"
"C1P47F5:2","-0.000352699723843163"
"C6P18F5:2","-0.000163447910796532"
"C1P47F5:13","-0.00051187380180358"
"C6P26F5:6","-0.000257665573625639"
"C10P15F5:6","-0.000472080195095591"
"C9P32F5:5","-0.000400701520912928"
"C6P27F5:5","-0.000428086029812298"
"C1P21F5:4","-0.000398775873102438"
